,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
111,112,[gte-micro-v4](https://huggingface.co/Mihaiii/gte-micro-v4),⚠️ NA,73.0,0.019,384.0,512.0,41.53,34.66,20.46,47.97,35.89,-3.83,14.69,71.73,37.48,30.54,57.01
112,113,[snowflake-arctic-embed-m-v1.5](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5),100%,415.0,0.109,768.0,512.0,41.99,35.56,20.11,46.99,37.53,-3.42,15.78,70.47,42.37,38.69,51.51
113,114,[Bulbasaur](https://huggingface.co/Mihaiii/Bulbasaur),⚠️ NA,66.0,0.017,384.0,512.0,41.71,35.01,20.45,47.83,35.06,-3.22,14.37,71.94,39.06,29.88,59.72
114,115,[granite-embedding-30m-english](https://huggingface.co/ibm-granite/granite-embedding-30m-english),96%,58.0,0.03,384.0,512.0,42.48,36.3,25.26,46.28,38.27,-2.75,15.39,70.26,42.53,36.43,55.06
115,116,[LaBSE-en-ru](https://huggingface.co/cointegrated/LaBSE-en-ru),100%,492.0,0.129,768.0,512.0,42.83,37.77,59.29,45.54,35.29,-3.69,18.81,72.27,40.87,24.79,46.77
116,117,[voyage-large-2-instruct](https://blog.voyageai.com/2024/05/05/voyage-large-2-instruct-instruction-tuned-and-rank-1-on-mteb/),100%,,,1024.0,16000.0,,,46.84,,,,,77.82,,,70.13
117,118,[gemma-2b-embeddings](https://huggingface.co/Jaume/gemma-2b-embeddings),100%,9560.0,2.506,2048.0,8192.0,37.27,29.58,4.23,54.57,39.15,0.74,16.21,67.8,33.66,13.05,36.78
118,119,[KartonBERT-USE-base-v1](https://huggingface.co/OrlikB/KartonBERT-USE-base-v1),⚠️ NA,396.0,0.104,768.0,512.0,42.1,35.66,36.52,46.28,35.12,-3.66,16.4,72.85,33.37,35.42,48.61
119,120,[slx-v0.1](https://huggingface.co/brahmairesearch/slx-v0.1),⚠️ NA,87.0,0.023,384.0,512.0,41.41,35.16,20.09,46.12,37.89,-2.84,15.05,71.23,40.28,32.51,56.08
120,121,[all-MiniLM-L6-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2),100%,87.0,0.023,384.0,256.0,41.39,35.12,20.09,46.2,37.47,-2.84,15.05,71.23,40.28,32.51,56.08
121,122,[Wartortle](https://huggingface.co/Mihaiii/Wartortle),99%,66.0,0.017,384.0,512.0,40.82,34.59,19.75,46.55,34.59,-1.54,14.01,71.23,39.59,27.21,59.97
122,123,[USER-base](https://huggingface.co/deepvk/USER-base),98%,473.0,0.427,768.0,512.0,42.18,36.95,44.81,45.67,32.97,-1.96,17.55,74.07,40.97,27.22,51.24
123,124,[ru-en-RoSBERTa](https://huggingface.co/ai-forever/ru-en-RoSBERTa),98%,1540.0,0.404,1024.0,512.0,41.57,35.68,22.34,46.78,35.92,-3.53,16.95,71.46,45.58,32.68,52.97
124,125,[udever-bloom-1b1](https://huggingface.co/izhx/udever-bloom-1b1),100%,,,,,,,20.47,,,-1.1,,72.83,37.02,,
125,126,[Euler-Legal-Embedding-V1](https://huggingface.co/Mira190/Euler-Legal-Embedding-V1),99%,15618.0,8.0,4096.0,1536.0,,,,,,7.4,22.15,,,,
126,127,[jina-embedding-b-en-v1](https://huggingface.co/jinaai/jina-embedding-b-en-v1),100%,420.0,0.11,768.0,512.0,40.91,35.38,26.33,42.58,33.84,-4.32,14.84,71.63,41.65,37.96,53.92
127,128,[udever-bloom-7b1](https://huggingface.co/izhx/udever-bloom-7b1),100%,,,,,,,18.6,,,-1.32,,73.3,,,
128,129,[Venusaur](https://huggingface.co/Mihaiii/Venusaur),⚠️ NA,60.0,0.016,384.0,512.0,39.95,33.48,19.16,47.66,32.15,-1.47,13.52,71.27,38.31,25.64,55.11
129,130,[udever-bloom-3b](https://huggingface.co/izhx/udever-bloom-3b),100%,,,,,,,13.79,,,-0.75,,72.9,35.72,,
130,131,[snowflake-arctic-embed-xs](https://huggingface.co/Snowflake/snowflake-arctic-embed-xs),100%,86.0,0.023,384.0,512.0,41.13,34.89,20.12,45.21,35.34,-2.36,13.35,71.04,39.69,35.23,56.43
131,132,[gte-micro](https://huggingface.co/Mihaiii/gte-micro),⚠️ NA,66.0,0.017,384.0,512.0,39.42,33.19,19.37,45.34,34.48,-1.8,13.49,71.39,35.22,26.16,55.08
132,133,[German_Semantic_STS_V2](https://huggingface.co/aari1995/German_Semantic_STS_V2),⚠️ NA,1281.0,0.336,1024.0,512.0,38.33,32.42,22.88,44.16,33.23,-2.51,15.67,71.67,31.65,21.8,53.26
133,134,[Squirtle](https://huggingface.co/Mihaiii/Squirtle),99%,60.0,0.016,384.0,512.0,39.69,33.61,18.08,45.89,33.66,-1.67,13.82,70.53,39.17,24.85,58.16
134,135,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse),100%,27126.0,7.111,4096.0,32768.0,,,,54.67,38.21,-1.09,,72.41,44.12,30.57,58.87
135,136,[st-polish-kartonberta-base-alpha-v1](https://huggingface.co/OrlikB/st-polish-kartonberta-base-alpha-v1),⚠️ NA,,,768.0,514.0,38.47,32.39,20.72,43.3,36.23,-3.77,14.74,72.15,31.43,28.38,48.29
136,137,[potion-base-8M](https://huggingface.co/minishlab/potion-base-8M),99%,29.0,0.008,256.0,,38.56,32.76,16.11,44.5,32.39,0.24,11.63,71.08,39.08,28.63,51.2
137,138,[rubert-tiny-turbo](https://huggingface.co/sergeyzh/rubert-tiny-turbo),99%,111.0,0.029,312.0,2048.0,38.77,34.27,42.63,41.8,29.26,-2.28,15.89,73.2,38.92,21.26,47.79
138,139,[jina-embedding-s-en-v1](https://huggingface.co/jinaai/jina-embedding-s-en-v1),100%,134.0,0.035,512.0,512.0,38.84,33.61,24.8,40.59,30.42,-3.22,12.4,71.52,39.16,34.7,52.16
139,140,[M2V_base_glove_subword](https://huggingface.co/minishlab/M2V_base_glove_subword),99%,391.0,0.103,256.0,,37.71,31.9,14.98,45.52,31.11,0.95,12.13,70.92,38.53,24.12,48.81
140,141,[potion-base-4M](https://huggingface.co/minishlab/potion-base-4M),99%,14.0,0.004,128.0,,37.82,32.22,14.59,43.71,32.21,0.61,11.69,70.8,38.54,27.23,50.57
141,142,[M2V_base_output](https://huggingface.co/minishlab/M2V_base_output),99%,29.0,0.008,256.0,,37.23,31.38,14.51,44.97,29.12,-0.13,11.53,70.97,38.11,24.74,48.58
142,143,[rubert-base-cased-sentence](https://huggingface.co/DeepPavlov/rubert-base-cased-sentence),100%,408.0,0.107,768.0,512.0,34.37,29.3,16.49,43.38,29.97,0.26,13.7,70.45,35.13,9.16,45.19
143,144,[jina-embeddings-v2-small-en](https://huggingface.co/jinaai/jina-embeddings-v2-small-en),100%,62.0,0.033,512.0,8192.0,35.22,29.11,12.61,43.81,27.31,-0.75,11.87,70.76,27.61,13.45,55.34
144,145,[rubert-tiny2](https://huggingface.co/cointegrated/rubert-tiny2),99%,112.0,0.029,312.0,2048.0,34.81,30.2,22.65,41.17,29.16,-0.09,15.27,69.6,34.58,14.35,45.13
145,146,[M2V_base_glove](https://huggingface.co/minishlab/M2V_base_glove),99%,391.0,0.102,256.0,,35.23,29.42,14.07,42.55,30.25,-0.41,14.04,70.45,27.44,24.38,41.96
146,147,[rubert-tiny](https://huggingface.co/cointegrated/rubert-tiny),99%,45.0,0.012,312.0,512.0,33.85,28.37,17.08,43.85,28.74,-0.89,13.86,67.0,33.18,12.09,40.44
147,148,[rubert-base-cased](https://huggingface.co/DeepPavlov/rubert-base-cased),98%,4883.0,1.28,768.0,512.0,32.0,26.37,14.44,44.87,30.02,0.8,12.83,62.58,32.43,7.97,31.37
148,149,[silma-embeddding-matryoshka-v0.1](https://huggingface.co/silma-ai/silma-embeddding-matryoshka-v0.1),⚠️ NA,516.0,0.135,768.0,512.0,34.15,29.15,21.72,41.31,27.3,0.57,13.07,69.42,30.72,15.75,42.49
149,150,[Arabic-mpnet-base-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet),100%,418.0,0.109,768.0,514.0,35.2,29.46,15.13,44.37,27.4,-2.84,12.31,70.72,35.84,13.12,49.12
150,151,[potion-base-2M](https://huggingface.co/minishlab/potion-base-2M),99%,7.0,0.002,64.0,,36.27,30.97,12.19,42.25,31.0,0.59,11.53,70.43,37.38,23.99,49.34
151,152,[cai-lunaris-text-embeddings](https://huggingface.co/consciousAI/cai-lunaris-text-embeddings),⚠️ NA,,,1024.0,512.0,36.65,30.85,13.63,43.17,31.7,-1.46,12.65,69.98,34.38,23.49,50.14
152,153,[distilrubert-small-cased-conversational](https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational),100%,408.0,0.107,768.0,512.0,32.5,27.03,15.53,43.81,25.95,-0.61,13.11,64.46,33.51,11.29,36.2
153,154,[Arabert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka),100%,516.0,0.135,768.0,512.0,33.11,28.18,19.05,40.86,26.42,1.07,12.11,68.76,30.14,12.74,42.51
154,155,[deberta-v1-base](https://huggingface.co/deepvk/deberta-v1-base),98%,473.0,0.124,768.0,512.0,31.83,25.71,13.07,45.37,27.01,-2.37,12.65,65.19,29.56,5.54,35.38
155,156,[udever-bloom-560m](https://huggingface.co/izhx/udever-bloom-560m),100%,,,,,,,10.07,,,-0.81,,71.67,30.79,,
156,157,[Marbert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka),100%,621.0,0.163,768.0,512.0,32.14,26.76,14.54,41.88,25.58,-0.17,11.67,68.65,28.05,9.19,41.49
157,158,[sbert_large_mt_nlu_ru](https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru),100%,1629.0,0.427,1024.0,512.0,31.21,26.56,13.89,40.91,27.07,-0.48,13.71,65.22,34.6,8.47,35.7
158,159,[sbert_large_nlu_ru](https://huggingface.co/ai-forever/sbert_large_nlu_ru),100%,1629.0,0.427,1024.0,512.0,30.05,25.39,13.22,40.66,27.55,0.56,13.7,62.84,32.13,7.8,30.07
159,160,[ternary-weight-embedding](https://huggingface.co/malenia1/ternary-weight-embedding),⚠️ NA,158.0,0.099,1024.0,512.0,31.06,26.58,12.65,38.87,23.89,0.92,12.14,64.88,32.09,10.63,43.16
160,161,[jina-embeddings-v2-base-en](https://huggingface.co/jinaai/jina-embeddings-v2-base-en),100%,262.0,0.137,768.0,8192.0,28.04,24.17,0.9,34.2,21.12,-1.64,10.39,68.24,31.6,10.7,42.03
161,162,random-encoder-baseline,100%,,,32.0,,18.79,15.92,0.38,30.11,21.2,0.45,11.2,52.78,25.14,1.08,0.92
162,163,[SearchMap_Preview](https://huggingface.co/VPLabs/SearchMap_Preview),⚠️ NA,1660.0,0.435,4096.0,8192.0,,,,,,0.46,,,,,
163,164,[lodestone-base-4096-v1](https://huggingface.co/Hum-Works/lodestone-base-4096-v1),100%,,,768.0,,,,,,,,,,,,
164,165,[jina-embeddings-v4](https://huggingface.co/jinaai/jina-embeddings-v4),97%,7500.0,3.8,2048.0,32768.0,,,,,,,,,,66.43,
165,166,[Jasper-Token-Compression-600M](https://huggingface.co/infgrad/Jasper-Token-Compression-600M),90%,2272.0,0.596,2048.0,32768.0,,,,,,,,,,,
166,167,[voyage-law-2](https://blog.voyageai.com/2024/04/15/domain-specific-embeddings-and-retrieval-legal-edition-voyage-law-2/),100%,,,1024.0,16000.0,,,,,,,,,,,
167,168,[Seed1.5-Embedding](https://seed1-5-embedding.github.io/),90%,,,2048.0,32768.0,,,,,,,,,,,
168,169,[KaLM-embedding-multilingual-mini-instruct-v1.5](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1.5),92%,1885.0,0.494,896.0,512.0,,,,,,,,,,,
169,170,[QZhou-Embedding](https://huggingface.co/Kingsoft-LLM/QZhou-Embedding),90%,14436.0,7.071,3584.0,8192.0,,,,,,,,,,,
170,171,[Seed1.6-embedding](https://seed1-6-embedding.github.io/),90%,,,2048.0,32768.0,,,,,,,,,,,
171,172,[bge-multilingual-gemma2](https://huggingface.co/BAAI/bge-multilingual-gemma2),91%,35254.0,9.24,3584.0,8192.0,,,,,,,,,,,
172,173,[KaLM-embedding-multilingual-mini-instruct-v2.5](https://huggingface.co/KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5),92%,1885.0,0.494,896.0,512.0,,,,,,,,,,,
173,174,[text-embedding-004](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),99%,,,768.0,2048.0,,,,,,2.33,,,,,
174,175,[voyage-code-2](https://blog.voyageai.com/2024/01/23/voyage-code-2-elevate-your-code-retrieval/),100%,,,1536.0,16000.0,,,,,,,,,,,
175,176,[text-embedding-ada-002](https://openai.com/index/new-and-improved-embedding-model/),⚠️ NA,,,1536.0,8191.0,,,,,,,,,,,
176,177,[voyage-2](https://blog.voyageai.com/2023/10/29/voyage-embeddings/),100%,,,1024.0,4000.0,,,,,,,,,,,
177,178,[Giga-Embeddings-instruct](https://huggingface.co/ai-sage/Giga-Embeddings-instruct),⚠️ NA,12865.0,3.227,2048.0,4096.0,,,,,,,,,,,
178,179,[LGAI-Embedding-Preview](https://huggingface.co/annamodels/LGAI-Embedding-Preview),90%,27125.0,7.11,4096.0,32768.0,,,,,,,,,,,
179,180,[b1ade-embed](https://huggingface.co/w601sxs/b1ade-embed),99%,1278.0,0.335,1024.0,4096.0,,,,,,,,,,,
180,181,[text-embedding-005](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),99%,,,768.0,2048.0,,,,,,,,,,,
181,182,[voyage-code-3](https://blog.voyageai.com/2024/12/04/voyage-code-3/),100%,,,1024.0,32000.0,,,,,,,,,,,
182,183,[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),96%,13483.0,7.069,3584.0,32768.0,,,,,,2.63,,,,66.48,
183,184,[sentence-t5-large](https://huggingface.co/sentence-transformers/sentence-t5-large),100%,639.0,0.335,768.0,512.0,,,,,,,,,,,
184,185,[Yuan-embedding-2.0-en](https://huggingface.co/IEITYuan/Yuan-embedding-2.0-en),99%,2272.0,0.596,1024.0,2048.0,,,,,,,,,,,
185,186,[voyage-3-large](https://blog.voyageai.com/2025/01/07/voyage-3-large/),100%,,,1024.0,32000.0,,,,,,4.0,,,,,
186,187,[Tarka-Embedding-350M-V1](https://huggingface.co/Tarka-AIR/Tarka-Embedding-350M-V1),99%,676.0,0.354,1024.0,128000.0,,,,,,,,,,,
187,188,[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b),96%,2944.0,1.543,1536.0,32768.0,,,,,,0.09,,,,62.96,
188,189,[F2LLM-4B](https://huggingface.co/codefuse-ai/F2LLM-4B),90%,7672.0,4.022,2560.0,8192.0,,,,,,,,,,,
189,190,[F2LLM-1.7B](https://huggingface.co/codefuse-ai/F2LLM-1.7B),90%,3282.0,1.721,2560.0,8192.0,,,,,,,,,,,
190,191,[voyage-3-m-exp](https://huggingface.co/voyageai/voyage-3-m-exp),90%,,6.918,2048.0,32000.0,,,,,,,,,,,
191,192,[granite-embedding-english-r2](https://huggingface.co/ibm-granite/granite-embedding-english-r2),96%,284.0,0.149,768.0,8192.0,,,,,,,,,,,
192,193,[mdbr-leaf-mt](https://huggingface.co/MongoDB/mdbr-leaf-mt),100%,86.0,0.023,1024.0,512.0,,,,,,,,,,,
193,194,[F2LLM-0.6B](https://huggingface.co/codefuse-ai/F2LLM-0.6B),90%,1137.0,0.596,1024.0,8192.0,,,,,,,,,,,
194,195,[sentence-t5-base](https://huggingface.co/sentence-transformers/sentence-t5-base),100%,209.0,0.11,768.0,512.0,,,,,,,,,,,
195,196,[voyage-finance-2](https://blog.voyageai.com/2024/06/03/domain-specific-embeddings-finance-edition-voyage-finance-2/),100%,,,1024.0,32000.0,,,,,,,,,,,
196,197,[SONAR](https://ai.meta.com/research/publications/sonar-sentence-level-multimodal-and-language-agnostic-representations/),100%,,,1024.0,512.0,,,,,,,,,,,
197,198,[Conan-embedding-v2](https://huggingface.co/TencentBAC/Conan-embedding-v2),91%,,,3584.0,32768.0,,,,,,,,,,,
198,199,[GeoEmbedding](https://huggingface.co/GeoGPT-Research-Project/GeoEmbedding),92%,27625.0,7.242,4096.0,32768.0,,,,,,,,,,,
199,200,[Tarka-Embedding-150M-V1](https://huggingface.co/Tarka-AIR/Tarka-Embedding-150M-V1),99%,576.0,0.156,768.0,2048.0,,,,,,,,,,,
