,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
0,1,[KaLM-Embedding-Gemma3-12B-2511](https://kalm-embedding.github.io/),73%,44884.0,11.76,3840.0,32768.0,72.32,62.51,83.76,77.88,55.77,5.49,33.03,84.73,67.27,75.66,79.02
1,2,[llama-embed-nemotron-8b](https://huggingface.co/nvidia/llama-embed-nemotron-8b),99%,28629.0,7.505,4096.0,32768.0,69.46,61.09,81.72,73.21,54.35,10.82,29.86,83.97,67.78,68.69,79.41
2,3,[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),99%,14433.0,7.567,4096.0,32768.0,70.58,61.69,80.89,74.0,57.65,10.06,28.66,86.4,65.63,70.88,81.08
3,4,[gemini-embedding-001](https://ai.google.dev/gemini-api/docs/embeddings),99%,,,3072.0,2048.0,68.37,59.59,79.28,71.82,54.59,5.18,29.16,83.63,65.58,67.71,79.4
4,5,[Qwen3-Embedding-4B](https://huggingface.co/Qwen/Qwen3-Embedding-4B),99%,7671.0,4.022,2560.0,32768.0,69.45,60.86,79.36,72.33,57.15,11.56,26.77,85.05,65.08,69.6,80.86
5,6,[Octen-Embedding-8B](https://huggingface.co/bflhc/Octen-Embedding-8B),99%,14433.0,7.567,4096.0,32768.0,67.84,60.28,80.35,66.68,55.68,8.9,25.23,85.12,67.64,71.61,81.27
6,7,[Seed1.6-embedding-1215](https://console.volcengine.com/ark/region:ark+cn-beijing/model/detail?Id=doubao-embedding-vision),89%,,,2048.0,32768.0,70.26,61.34,78.68,76.75,56.78,-0.02,46.16,85.5,66.24,66.05,75.92
7,8,[Qwen3-Embedding-0.6B](https://huggingface.co/Qwen/Qwen3-Embedding-0.6B),99%,1136.0,0.596,1024.0,32768.0,64.34,56.01,72.23,66.83,52.33,5.09,24.59,80.83,61.41,64.65,76.17
8,9,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),⚠️ NA,29040.0,7.613,3584.0,32768.0,62.51,55.93,73.92,61.55,52.77,4.94,25.48,85.13,65.55,60.08,73.98
9,10,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),99%,13563.0,7.11,4096.0,32768.0,61.47,54.14,70.34,62.24,50.6,0.94,24.77,80.43,64.37,58.69,74.86
10,11,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),99%,1068.0,0.56,1024.0,514.0,63.22,55.08,80.13,64.94,50.75,-0.4,22.91,80.86,62.61,57.12,76.81
11,12,[embeddinggemma-300m](https://ai.google.dev/gemma/docs/embeddinggemma/model_card),99%,1155.0,0.308,768.0,2048.0,61.15,54.31,64.4,60.9,51.17,5.61,24.82,81.4,63.25,62.49,74.73
12,13,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),96%,13563.0,7.11,4096.0,32768.0,60.9,53.92,70.0,60.02,51.84,0.16,24.55,80.29,64.19,59.44,74.79
13,14,[text-multilingual-embedding-002](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),99%,,,768.0,2048.0,62.16,54.25,70.73,64.64,47.84,4.08,22.8,81.14,61.22,59.68,76.11
14,15,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),99%,13813.0,7.24,4096.0,32768.0,60.92,53.74,70.53,61.83,49.75,3.45,22.77,79.94,63.78,58.31,73.33
15,16,[GritLM-8x7B](https://huggingface.co/GritLM/GritLM-8x7B),99%,89079.0,57.92,32768.0,32768.0,60.49,53.31,68.17,61.55,50.16,2.44,24.43,79.73,62.61,57.54,73.16
16,17,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),99%,13563.0,7.111,4096.0,32768.0,60.25,53.08,70.58,60.31,50.57,-0.62,22.2,81.12,63.82,55.75,74.02
17,18,[Cohere-embed-multilingual-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,512.0,,61.13,53.25,70.51,62.95,46.96,-1.89,22.74,79.88,64.07,59.22,74.8
18,19,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),⚠️ NA,6776.0,1.78,8960.0,32768.0,59.45,52.69,62.51,58.32,52.05,0.74,24.02,81.58,62.58,60.78,71.61
19,20,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),98%,2136.0,0.56,1024.0,514.0,60.96,52.92,73.55,62.77,46.49,-3.04,22.36,79.83,61.42,55.1,77.81
20,21,[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),96%,13563.0,7.11,4096.0,32768.0,59.8,52.83,68.84,59.01,53.65,-1.8,25.19,78.58,63.04,57.93,71.04
21,22,[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),⚠️ NA,29449.0,7.72,4096.0,32768.0,,,60.8,58.24,52.26,5.36,23.45,84.57,,57.77,71.05
22,23,[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,3072.0,8191.0,,,62.15,60.27,47.05,-2.68,22.03,,63.89,59.32,71.68
23,24,[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),90%,5887.0,1.54,8960.0,131072.0,56.53,49.96,58.56,56.69,49.71,0.21,21.84,78.47,61.37,52.84,69.91
24,25,[jasper_en_vision_language_v1](https://huggingface.co/infgrad/jasper_en_vision_language_v1),90%,3802.0,1.999,8960.0,131072.0,,,60.63,,,0.26,22.66,,,55.12,71.5
25,26,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),90%,14975.0,7.85,4096.0,32768.0,56.29,49.58,57.84,57.29,40.8,1.04,18.63,78.94,63.82,56.72,71.1
26,27,[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1),⚠️ NA,2136.0,0.56,1024.0,514.0,59.63,52.01,76.1,60.84,43.86,-3.48,21.4,78.72,62.02,55.69,72.98
27,28,[voyage-3.5](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,58.46,51.91,60.52,58.54,45.87,6.5,21.7,75.97,64.16,64.01,69.97
28,29,[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3),99%,1092.0,0.572,1024.0,8194.0,58.37,50.66,65.25,58.77,45.65,-1.34,18.38,79.27,57.09,55.76,77.13
29,30,[bge-m3](https://huggingface.co/BAAI/bge-m3),98%,2167.0,0.568,1024.0,8194.0,59.56,52.18,79.11,60.35,40.88,-3.11,20.1,80.76,62.79,54.6,74.12
30,31,[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1),92%,1885.0,0.494,896.0,512.0,57.05,50.05,64.77,57.57,45.61,-1.5,20.67,77.7,60.59,54.17,70.84
31,32,[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large),99%,2136.0,0.56,1024.0,514.0,58.62,51.42,73.81,59.43,42.69,-3.05,21.13,78.87,62.86,53.71,73.3
32,33,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),99%,582.0,0.305,768.0,8192.0,58.34,51.5,71.79,57.23,44.23,-0.74,19.78,80.49,60.68,57.16,72.85
33,34,[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base),98%,1061.0,0.278,768.0,514.0,58.23,50.61,69.98,59.36,44.68,-3.84,20.68,77.44,59.41,52.96,74.84
34,35,[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1),92%,1885.0,0.494,896.0,512.0,56.35,49.28,64.22,57.38,45.89,-2.6,21.62,77.47,58.17,50.84,70.54
35,36,[NV-Embed-v1](https://huggingface.co/nvidia/NV-Embed-v1),90%,14975.0,7.85,4096.0,32768.0,54.88,48.33,48.9,57.04,42.86,3.02,18.95,76.19,64.29,53.98,69.77
36,37,[Cohere-embed-multilingual-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,384.0,512.0,57.58,50.28,65.03,58.51,44.79,-2.45,20.09,77.0,61.98,55.79,71.8
37,38,[bge-m3-custom-fr](https://huggingface.co/manu/bge-m3-custom-fr),98%,2166.0,0.568,1024.0,8194.0,57.86,50.57,72.16,58.73,40.35,-2.5,19.56,78.51,60.37,53.26,74.69
38,39,[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small),98%,449.0,0.118,384.0,512.0,57.01,49.69,69.48,58.06,43.78,-3.36,19.17,77.07,59.31,49.55,74.14
39,40,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),99%,2166.0,0.568,1024.0,8192.0,57.03,49.95,64.08,57.39,42.76,-2.47,18.94,76.71,63.67,58.36,70.11
40,41,[text-embedding-3-small](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,1536.0,8191.0,,,50.38,55.22,46.07,-2.38,19.92,,58.78,50.69,69.42
41,42,[multilingual-e5-base](https://huggingface.co/intfloat/multilingual-e5-base),99%,1061.0,0.278,768.0,514.0,57.02,49.83,69.44,58.21,41.82,-2.65,20.16,77.15,60.18,52.72,71.44
42,43,[voyage-3-lite](https://blog.voyageai.com/2024/09/18/voyage-3/),100%,,,512.0,32000.0,,,60.12,57.93,44.82,-1.17,,75.07,60.29,58.6,68.2
43,44,[multilingual-e5-small](https://huggingface.co/intfloat/multilingual-e5-small),99%,449.0,0.118,384.0,512.0,56.36,49.46,69.4,56.97,41.3,-2.45,19.29,77.22,60.43,50.91,72.08
44,45,[voyage-3](https://blog.voyageai.com/2024/09/18/voyage-3/),100%,,,1024.0,32000.0,,,60.03,,,1.35,,76.18,63.36,66.18,68.52
45,46,[USER-bge-m3](https://huggingface.co/deepvk/USER-base),97%,1370.0,0.359,1024.0,8194.0,51.64,45.28,63.38,53.19,40.05,-2.65,18.6,80.58,51.53,43.3,59.53
46,47,[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),99%,1165.0,0.305,768.0,8192.0,53.7,46.89,53.73,54.38,42.24,-3.34,17.04,74.86,61.67,54.83,66.6
47,48,[Cohere-embed-english-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,1024.0,512.0,48.13,41.77,31.39,50.31,42.32,-0.17,17.19,74.07,50.68,45.41,64.72
48,49,[Arabic-labse-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka),⚠️ NA,1796.0,0.471,768.0,512.0,53.65,47.18,70.33,55.08,39.59,-1.77,19.95,80.8,51.59,36.98,72.09
49,50,[granite-embedding-278m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-278m-multilingual),96%,530.0,0.278,768.0,512.0,53.74,47.22,58.48,54.09,41.41,-1.77,17.67,75.71,59.89,52.2,67.27
50,51,[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5),90%,1660.0,0.435,4096.0,8192.0,48.32,42.11,39.24,49.2,46.2,-0.7,18.22,74.51,46.49,42.58,63.23
51,52,[arabic-english-sts-matryoshka](https://huggingface.co/omarelshehy/arabic-english-sts-matryoshka),⚠️ NA,2136.0,0.56,1024.0,514.0,52.62,45.92,60.89,56.67,40.22,1.38,19.32,83.35,48.31,31.72,71.4
52,53,[paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2),100%,1061.0,0.278,768.0,512.0,51.98,45.17,52.06,55.06,40.19,-1.14,16.4,81.15,53.37,39.76,69.66
53,54,[Arabic-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka),100%,1061.0,0.278,768.0,514.0,52.0,45.32,55.9,54.64,38.25,-1.05,14.99,81.16,54.27,38.47,71.29
54,55,[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct),⚠️ NA,13563.0,7.111,,32768.0,,,19.54,57.32,41.71,-0.09,,74.82,48.85,,65.49
55,56,[LaBSE](https://huggingface.co/sentence-transformers/LaBSE),100%,1796.0,0.471,768.0,512.0,52.07,45.65,76.35,54.6,38.08,-3.0,20.12,75.97,50.2,33.17,65.35
56,57,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),100%,1278.0,0.335,1024.0,512.0,46.09,39.61,26.84,49.66,41.87,-2.14,17.17,72.82,48.35,41.21,60.75
57,58,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),100%,639.0,0.335,1024.0,512.0,45.91,39.45,25.74,49.74,42.49,-1.95,18.1,72.56,47.6,40.3,60.46
58,59,[granite-embedding-107m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual),96%,204.0,0.107,384.0,512.0,51.81,45.47,54.08,52.57,40.38,-2.96,17.33,75.29,58.48,48.08,65.98
59,60,[e5-large-v2](https://huggingface.co/intfloat/e5-large-v2),100%,1278.0,0.335,1024.0,514.0,46.64,40.32,33.8,49.8,39.79,-0.99,15.85,73.92,48.76,40.06,61.87
60,61,[GIST-large-Embedding-v0](https://huggingface.co/avsolatorio/GIST-large-Embedding-v0),96%,1278.0,0.335,1024.0,512.0,45.75,39.51,25.64,48.18,42.39,-1.81,17.54,72.28,47.08,40.41,63.92
61,62,[mmlw-e5-large](https://huggingface.co/sdadas/mmlw-e5-large),99%,2136.0,0.56,1024.0,514.0,45.4,37.95,26.86,52.05,42.92,-3.39,17.08,73.41,39.82,33.33,59.49
62,62,[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1),96%,522.0,,768.0,8192.0,45.68,39.12,28.37,49.39,40.81,-3.25,17.8,71.66,46.01,37.05,64.25
63,64,[nomic-embed-text-v1-ablated](https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated),96%,,,768.0,8192.0,45.92,39.19,28.6,49.24,40.42,-3.75,17.36,72.07,45.04,40.74,62.99
64,65,[e5-base-v2](https://huggingface.co/intfloat/e5-base-v2),100%,418.0,0.109,768.0,512.0,45.98,39.33,30.95,49.46,40.1,-3.94,16.06,72.63,47.5,40.49,60.73
65,66,[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5),99%,1242.0,0.335,1024.0,512.0,45.08,39.06,26.65,48.02,41.42,-2.29,17.67,72.04,48.84,39.0,60.14
66,67,[e5-large](https://huggingface.co/intfloat/e5-large),100%,1278.0,0.335,1024.0,512.0,45.59,39.2,30.56,48.16,40.62,-2.33,16.31,73.48,44.19,38.5,63.32
67,68,[STS-multilingual-mpnet-base-v2](https://huggingface.co/Gameselo/STS-multilingual-mpnet-base-v2),83%,1061.0,0.278,768.0,514.0,48.52,42.38,47.63,51.02,32.38,-1.96,16.63,78.71,50.01,34.66,72.37
68,69,[Arabic-MiniLM-L12-v2-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet),100%,449.0,0.118,384.0,512.0,49.69,43.12,48.68,53.1,37.63,-1.19,14.91,79.57,51.13,35.06,69.24
69,70,[Cohere-embed-english-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,384.0,512.0,45.85,39.48,26.1,48.89,40.4,-1.39,16.42,72.04,48.03,41.78,63.02
70,71,[paraphrase-multilingual-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2),100%,449.0,0.118,768.0,512.0,48.73,42.37,44.56,51.66,38.33,-1.31,14.93,78.99,50.97,36.61,66.58
71,72,[gte-large](https://huggingface.co/thenlper/gte-large),⚠️ NA,639.0,0.335,1024.0,512.0,45.21,39.35,26.23,47.61,41.39,-1.29,17.91,71.74,48.87,38.23,63.47
72,73,[GIST-Embedding-v0](https://huggingface.co/avsolatorio/GIST-Embedding-v0),96%,418.0,0.109,768.0,512.0,45.0,38.56,24.38,47.88,42.26,-3.35,16.71,71.7,45.64,38.45,63.41
