,Model,FaroeseSTS,FinParaSTS,GermanSTSBenchmark,IndicCrosslingualSTS,JSICK,SICK-R,STS12,STS13,STS14,STS15,STS17,STS22.v2,STSB,STSBenchmark,STSES,SemRel24STS
54,GIST-Embedding-v0,63.9209,10.6949,66.8669,4.236675,62.8,81.28563534883214,76.155337187325,87.84898360302155,83.38989083933329,89.42976214499576,88.58925922945812,50.26821111111111,47.0692,87.32401087204754,72.0844,42.567283333333336
55,arabic-english-sts-matryoshka,70.5322,25.12725,82.52345,50.404783333333334,67.3614,77.9915,78.8377,82.00739999999999,79.3489,85.5924,83.26301664943058,67.05620555555556,81.59925,84.0891,67.7446,58.85230833333333
56,mxbai-embed-large-v1,62.30161099163794,8.411662818410127,67.18068176966264,2.8329027704181016,62.66568613200523,82.77671230423026,79.0687249451691,89.79451553480632,85.21908733722553,89.34383375203599,42.65608888134615,50.93969499277071,43.33993849247296,89.28960362631743,75.61987115112402,35.9245176150535
57,Arabic-labse-Matryoshka,72.92739999999999,28.356550000000002,80.1569,55.515475,73.2819,77.03286420274621,79.21432176112556,79.54963868861196,78.84601702652395,85.60821849381648,79.83951818181818,64.48927222222223,78.5123,82.04996129795596,73.136,64.90599999999999
58,stella-base-en-v2,64.5622,8.5982,65.5087,6.423383333333334,60.9924,81.05827848407056,78.71828082424351,84.88094386637867,83.10699573133829,88.73903130248591,87.7102980757725,51.693972222222214,46.76725,87.44850004752102,75.843,40.87220833333333
59,USER-bge-m3,71.2514,20.504499999999997,81.95095,8.529333333333334,26.429599999999997,81.0025,81.0964,83.8523,82.1097,88.9983,58.45140909090909,64.01532222222221,9.092799999999999,86.8518,76.92320000000001,31.43755833333333
60,e5-large,68.6149,16.09355,71.297,-1.840325,56.73010000000001,80.48508130408966,75.93057758003266,85.22240034668202,80.54074646118492,88.81459873052108,89.36731628848683,55.92901666666666,41.9142,87.21366640615442,76.9093,39.93960833333334
61,gte-large,66.48190000000001,11.58815,69.8542,1.5148999999999997,64.6186,79.80930790660699,76.80552915288186,88.10998662068769,82.66200957916445,88.92791680286955,88.46863559173111,54.71163333333333,44.546949999999995,86.07166710670508,73.7066,37.618183333333334
62,voyage-3.5,73.5325,26.158749999999998,76.21315,31.41649166666667,78.2563,79.4101,70.1112,82.98910000000001,76.9845,82.8124,77.8470090909091,71.02185555555556,70.89705,82.2799,74.69170000000001,64.82670833333334
63,nomic-embed-text-v1,67.90350000000001,15.251249999999999,66.786,10.810833333333331,70.5923,78.5797159641342,78.91631735081286,85.40429140249618,81.64101363896586,87.20408521902229,87.20485505076539,56.30708888888889,40.91395,85.54302197678368,71.0022,44.007533333333335
64,GIST-small-Embedding-v0,63.834900000000005,13.2524,66.73235,-1.6018500000000002,65.5528,80.53174518259549,75.56589127055523,86.26355088415221,82.29883673695083,88.7364409031183,89.02101343562433,51.49538888888888,46.004,87.07819121764247,71.2607,37.27591666666667
65,Arabic-MiniLM-L12-v2-all-nli-triplet,59.5809,27.8687,80.61045,28.042383333333333,75.1148,79.61914245705792,77.38689922564416,79.58989311630421,79.78614320477877,86.21134464371615,80.27092727272728,59.99809444444444,79.8867,84.3492527221498,71.709,57.739475
66,NoInstruct-small-Embedding-v0,63.7321,12.70985,67.24140000000001,-2.2843333333333335,65.0772,80.30777094408789,75.75714864112797,86.08377598473446,82.28284203795577,88.90045649789438,88.72837234129177,51.420861111111115,46.46245,86.97909372129874,71.83319999999999,38.04490833333333
67,bge-large-en-v1.5,64.58289770378548,8.827194610588233,67.19234776654262,3.8852702700658894,64.20348141703155,81.68367384277421,79.04889235593613,86.37060444136577,82.77810172031654,88.02952704872573,44.452043373002525,48.90619596097559,41.52787527044174,87.5190636046235,77.43412903673891,35.81120814755227
68,gte-base,63.09010000000001,12.6613,69.07910000000001,5.675716666666666,64.38669999999999,78.85870555294795,75.71298531799367,85.72991921531624,81.50806522502528,88.81032027008195,87.89861394614361,51.44635000000001,45.9048,85.73266847750143,72.3831,40.49649166666667
69,snowflake-arctic-embed-l-v2.0,70.9056,22.14595,77.01955000000001,47.20138333333333,81.5808,73.9812,71.22579999999999,80.4384,75.1031,82.865,74.40714545454547,68.68658333333335,72.001,79.2127,78.657,66.34601666666667
70,paraphrase-multilingual-MiniLM-L12-v2,47.29394318803163,23.20666648440418,80.68480124709163,19.788971420337965,69.19120650023513,79.60669235249621,76.02134324654331,80.69594195489891,78.85313504683504,85.8377178673668,81.4449612140821,56.69646259124438,80.75013537387944,84.4167885297171,73.01325862843841,47.809215426312115
71,gte-small,63.9784,14.35235,68.23140000000001,1.882025,65.81280000000001,77.92985224770254,75.1221970851712,85.08683458043946,81.03453291428589,88.31966852492485,87.59086606735383,52.69768888888889,47.27439999999999,85.57014313159492,72.35629999999999,37.037483333333334
72,Cohere-embed-english-light-v3.0,69.3698,19.8546,65.31039999999999,4.158216666666667,67.0899,79.65240734965128,72.6022866501722,82.87639489647019,79.74024708732993,86.97688974734349,89.22016928873572,49.82703333333334,42.017950000000006,86.57651994952795,73.8418,39.21791666666667
73,Euler-Legal-Embedding-V1,,,83.531,54.85978333333333,,83.9003,81.3218,86.7165,82.2674,89.0549,85.34215454545453,72.79529444444445,80.0316,88.0437,,63.768775
74,e5-large-v2,67.43254226313017,15.98819811188566,73.32000953653802,3.0581112879233525,71.88885428127878,79.15895517070432,73.55323398454772,80.98029517065778,79.15977416467089,88.29499706388188,48.05269026236347,56.982289003342956,43.35341654060719,84.5488080918384,79.83558551679866,44.28938898030304
75,voyage-3,72.5055,22.51015,73.05865,41.62885833333333,71.7563,79.6314,69.5154,80.5623,73.32509999999999,80.3908,76.24326363636364,71.88099444444444,66.569,79.5318,72.5128,64.66249166666667
76,bge-base-en-v1.5,64.25782252314615,10.132880531033091,65.57169829445715,7.372074182768025,63.773333148776835,80.30113956602887,78.02846881992981,84.18359851756962,82.27285338843656,87.95662500150213,42.320743874364645,46.598166908064236,44.95803485682014,86.41801045690194,72.56256149542571,42.74099961523518
77,voyage-multilingual-2,74.4153,27.0741,74.90220000000001,35.03346666666667,75.942,78.97370000000001,67.3025,80.0949,71.97590000000001,78.0676,77.06250909090909,69.03339444444444,70.05966864972416,75.7937,76.6944,64.8817
78,voyage-3-lite,76.202,24.1568,71.53009999999999,31.913058333333332,78.0621,76.6482,70.758,76.5052,71.9166,81.1019,73.04648181818183,68.5241611111111,67.58794999999999,78.56030000000001,80.5674,64.08604166666666
79,e5-base,67.9557,12.81795,69.53145,1.589516666666667,58.2531,79.66419880841734,74.2189990321174,83.31401180333397,78.52252410630707,88.34876527774259,87.23010990417097,51.00597222222222,37.654849999999996,86.18102563389962,76.0396,38.67500833333333
80,e5-base-v2,70.22820299315985,15.392875797454897,72.0826882387422,-1.332694301463828,71.29048066992955,78.39807283202838,73.48862196374729,82.99690334443994,80.44585834356297,88.18055224097617,41.98980416735733,51.851385779602765,40.40621594978555,85.47988918811889,76.76002181951239,43.99229544265435
81,mmlw-e5-large,66.42139999999999,8.356050000000002,64.6012,4.704400000000001,54.9916,81.401,80.7987,84.9162,81.6616,85.7166,47.97082727272727,54.786277777777784,37.7826,85.33760000000001,75.6386,36.76878333333333
82,bge-small-en-v1.5,66.47008447145953,13.52276092243459,66.93503709671312,3.196363168771078,65.03093062307546,79.40992826837397,77.44334044593039,82.97998550645033,81.83539566263664,87.26544426377639,39.24208065628188,46.92584725074835,45.11474692240475,85.86295017067542,76.29930919465497,38.125228666817684
83,udever-bloom-7b1,37.0798,1.5883,43.53245,-3.57945,59.4606,81.4067321748142,77.47310329678291,86.37854318479079,81.17166984686445,88.23398394823562,90.6215253553308,,82.02672847550606,88.02311088852667,63.0798,44.425441666666664
84,e5-small,67.10350000000001,15.7889,68.98440000000001,3.2111,52.817,78.9003023008781,75.1883451602451,81.79962989974364,78.48371403924872,87.49276894673142,87.94243515296604,50.86858888888889,32.500750000000004,86.36336704300167,77.6992,36.837891666666664
85,e5-base-4k,66.1041,15.645550000000002,66.15805,-3.211675,60.3486,78.29727771767095,75.79279003980383,83.58056936846941,79.948683747966,88.82021731518206,87.58456196391622,49.595616666666665,36.57415,86.52303197250791,70.4574,39.84673333333333
86,nomic-embed-text-v1-unsupervised,64.2727,10.904900000000001,69.6293,-4.279158333333333,68.6459,74.18938626206575,73.22311186990363,84.77145185366201,79.9948128016449,87.26758456901442,89.54137104681308,57.30821666666667,44.9326,83.95859527071087,71.8886,42.70755833333333
87,granite-embedding-278m-multilingual,63.605199999999996,12.62055,79.0032,34.516349999999996,77.1764,68.7448,75.1911,77.3053,74.9479,86.0174,66.61661249999999,67.85498888888888,74.8993,78.4076,77.9259,61.41298333333333
88,e5-small-v2,70.0810874426783,15.429769290780737,69.96631700012932,2.172488714466548,68.48384494860525,79.2507216483598,73.7079788758814,82.31720264513166,80.06919084564517,87.20998142742839,34.76703201059355,45.835554176334966,45.78418580321469,84.91603276683479,76.07557603005908,41.78052256882217
89,snowflake-arctic-embed-m-v2.0,63.2482,22.919099999999997,73.8767,30.798949999999998,80.6935,71.2985,70.6481,77.3886,72.9113,81.8161,66.8058875,69.04341666666667,68.98015,75.9802,80.2475,58.910241666666664
90,nomic-embed-text-v1-ablated,64.87899999999999,22.57305,63.19175,6.040475,67.6739,77.3007421887329,77.97040896962338,79.38801416063187,78.17327332594571,85.50877410088334,85.86642469958113,56.76061111111112,42.68825,83.41508337893958,72.7611,43.61584166666667
91,embedder-100p,57.104,2.51995,81.46204999999999,9.566358333333334,57.6237,80.91205372065706,76.97735281189986,82.62953855483207,77.83933203825715,85.918072169933,88.99264497015508,52.0559,31.426699999999997,84.2021805427655,65.1527,39.886783333333334
92,mmlw-e5-base,62.4483,6.80635,61.3086,4.805908333333334,54.750600000000006,80.8023,78.57119999999999,83.7403,82.2311,88.1554,43.02721818181819,49.96305555555555,27.923699999999997,86.6135,70.3403,36.50650833333333
93,GIST-all-MiniLM-L6-v2,66.1382,14.455449999999997,67.85515,-1.8949416666666667,67.5489,79.09232997136625,75.03945035801914,83.26431569305103,78.61877889763109,87.03494331841401,87.35865211085007,43.289183333333334,44.65475,84.40071593577095,67.6335,39.88513333333333
94,granite-embedding-107m-multilingual,63.173500000000004,13.104199999999999,78.10805,26.927358333333334,77.29350000000001,68.46560000000001,74.7362,75.63990000000001,73.1976,85.0551,65.24065,66.56946666666667,74.65174999999999,76.9844,77.9058,58.61606666666667
95,MedEmbed-small-v0.1,66.0398,12.424650000000002,67.96175,-0.0814083333333332,64.2204,79.65689515219194,76.22109828443048,83.4553090866614,80.39864986197945,86.40909639583371,25.761042651884647,47.25213888888889,44.41125,84.81184678969443,76.0943,38.25886666666667
96,mmlw-roberta-base,66.5164,6.7164,65.01065,7.787466666666668,1.9684,80.6494,77.8013,84.2942,82.6476,88.17,35.630545454545455,48.12725,2.73505,86.4214,67.3884,25.189224999999997
97,udever-bloom-3b,38.9574,2.9091500000000003,43.5714,-4.143116666666667,56.371,80.84882728439892,76.10288448289813,85.49051395372348,80.43502071880916,87.7540379885978,89.94783195991867,,81.51752389848613,87.70682082313391,52.0415,39.27959166666666
98,mmlw-roberta-large,65.5724,6.4315,62.351350000000004,6.280941666666667,2.0140000000000002,81.35940000000001,80.3478,84.8021,81.6639,85.8572,36.812672727272734,50.45782222222223,2.2290000000000005,85.0874,72.9918,26.545800000000003
99,static-similarity-mrl-multilingual-v1,71.6824,16.82345,73.28605,8.022891666666666,78.6656,68.3204,71.57,74.3251,72.8186,82.5291,72.89600909090909,57.25741111111111,71.81565,79.94250000000001,72.0103,52.42039166666667
100,Ivysaur,69.9027,10.21665,68.1034,0.25066666666666654,67.5797,75.63155962642634,68.58158236004101,80.54473705232682,77.628680514703,86.15687211744392,88.5704237984555,52.105038888888885,46.29725,84.24952159575491,67.71249999999999,37.57251666666666
101,LaBSE,55.20673066381397,24.823815963063122,73.33711525875363,52.75801799859855,76.98893346336119,69.99188482038213,65.08166563535988,67.97543550218779,64.03144384844788,76.59341752268844,74.18204228376322,63.255142506489804,69.93403703159636,72.25055941558153,76.90847725508182,62.277480921299464
102,Jasper-Token-Compression-600M,,,,,,85.2974,86.06660000000001,93.3476,89.6326,93.4661,93.4175,73.3,88.6598,92.8872,,
103,Seed1.5-Embedding,,,,,,84.3305,84.7519,92.5484,90.3995,92.4218,93.2298,72.6965,86.562,91.5074,,
104,QZhou-Embedding,,,,,,87.7356,90.29169999999999,95.66799999999999,92.7978,95.26820000000001,89.22355454545455,77.18277222222221,91.767,95.0436,,
